Date,Temperature
2010-12-01,76.0
2010-12-01,73.0
2010-12-01,73.0
2010-12-01,72.0
2010-12-01,78.0
2010-12-01,72.0
2010-12-01,70.0
2010-12-01,71.0
2010-12-02,72.0
2010-12-02,73.0
2010-12-02,75.0
2010-12-02,71.0
2010-12-02,74.0
2010-12-02,71.0
2010-12-02,74.0
2010-12-02,70.0
2010-12-03,74.0
2010-12-03,73.0
2010-12-03,71.0
2010-12-03,70.0
2010-12-03,74.0
2010-12-03,72.0
2010-12-03,74.0
2010-12-03,67.0
2010-12-04,74.0
2010-12-04,74.0
2010-12-04,72.0
2010-12-04,78.0
2010-12-04,74.0
2010-12-04,75.0
2010-12-04,77.0
2010-12-05,73.0
2010-12-05,71.0
2010-12-05,73.0
2010-12-05,78.0
2010-12-05,66.0
2010-12-05,69.0
2010-12-05,69.0
2010-12-06,64.0
2010-12-06,66.0
2010-12-06,64.0
2010-12-06,66.0
2010-12-06,78.0
2010-12-06,61.0
2010-12-06,61.0
2010-12-06,65.0
2010-12-06,61.0
2010-12-07,64.0
2010-12-07,64.0
2010-12-07,71.0
2010-12-07,66.0
2010-12-07,76.0
2010-12-07,69.0
2010-12-07,58.0
2010-12-07,66.0
2010-12-07,62.0
2010-12-08,67.0
2010-12-08,66.0
2010-12-08,62.0
2010-12-08,67.0
2010-12-08,73.0
2010-12-08,65.0
2010-12-08,60.0
2010-12-08,68.0
2010-12-08,63.0
2010-12-09,77.0
2010-12-09,75.0
2010-12-09,70.0
2010-12-09,76.0
2010-12-09,74.0
2010-12-09,77.0
2010-12-09,71.0
2010-12-09,77.0
2010-12-09,73.0
2010-12-10,66.0
2010-12-10,65.0
2010-12-10,64.0
2010-12-10,68.0
2010-12-10,63.0
2010-12-10,67.0
2010-12-10,65.0
2010-12-10,65.0
2010-12-10,64.0
2010-12-11,69.0
2010-12-11,69.0
2010-12-11,64.0
2010-12-11,72.0
2010-12-11,69.0
2010-12-11,72.0
2010-12-11,72.0
2010-12-11,67.0
2010-12-12,68.0
2010-12-12,71.0
2010-12-12,70.0
2010-12-12,75.0
2010-12-12,70.0
2010-12-12,65.0
2010-12-12,69.0
2010-12-13,68.0
2010-12-13,69.0
2010-12-13,70.0
2010-12-13,69.0
2010-12-13,75.0
2010-12-13,67.0
2010-12-13,68.0
2010-12-13,66.0
2010-12-13,80.0
2010-12-14,71.0
2010-12-14,78.0
2010-12-14,69.0
2010-12-14,71.0
2010-12-14,74.0
2010-12-14,71.0
2010-12-14,67.0
2010-12-14,74.0
2010-12-14,71.0
2010-12-15,74.0
2010-12-15,74.0
2010-12-15,72.0
2010-12-15,70.0
2010-12-15,72.0
2010-12-15,74.0
2010-12-15,71.0
2010-12-15,66.0
2010-12-15,73.0
2010-12-16,67.0
2010-12-16,68.0
2010-12-16,68.0
2010-12-16,68.0
2010-12-16,68.0
2010-12-16,66.0
2010-12-16,65.0
2010-12-16,63.0
2010-12-16,65.0
2010-12-17,66.0
2010-12-17,68.0
2010-12-17,68.0
2010-12-17,66.0
2010-12-17,66.0
2010-12-17,64.0
2010-12-17,63.0
2010-12-17,68.0
2010-12-18,69.0
2010-12-18,70.0
2010-12-18,65.0
2010-12-18,77.0
2010-12-18,65.0
2010-12-18,69.0
2010-12-18,68.0
2010-12-19,71.0
2010-12-19,70.0
2010-12-19,67.0
2010-12-19,70.0
2010-12-19,69.0
2010-12-19,69.0
2010-12-19,69.0
2010-12-20,71.0
2010-12-20,68.0
2010-12-20,73.0
2010-12-20,70.0
2010-12-20,73.0
2010-12-20,72.0
2010-12-21,71.0
2010-12-21,70.0
2010-12-21,71.0
2010-12-21,70.0
2010-12-21,72.0
2010-12-21,69.0
2010-12-22,71.0
2010-12-22,67.0
2010-12-22,71.0
2010-12-22,68.0
2010-12-22,68.0
2010-12-22,69.0
2010-12-23,70.0
2010-12-23,71.0
2010-12-23,73.0
2010-12-23,71.0
2010-12-23,69.0
2010-12-23,67.0
2010-12-23,67.0
2010-12-24,70.0
2010-12-24,69.0
2010-12-24,70.0
2010-12-24,67.0
2010-12-24,71.0
2010-12-24,69.0
2010-12-24,69.0
2010-12-25,69.0
2010-12-25,71.0
2010-12-25,70.0
2010-12-25,74.0
2010-12-25,73.0
2010-12-26,74.0
2010-12-26,72.0
2010-12-26,68.0
2010-12-26,74.0
2010-12-26,71.0
2010-12-26,72.0
2010-12-26,71.0
2010-12-27,74.0
2010-12-27,76.0
2010-12-27,72.0
2010-12-27,76.0
2010-12-27,76.0
2010-12-27,76.0
2010-12-27,71.0
2010-12-28,71.0
2010-12-28,72.0
2010-12-28,69.0
2010-12-28,72.0
2010-12-28,71.0
2010-12-28,70.0
2010-12-28,70.0
2010-12-29,75.0
2010-12-29,73.0
2010-12-29,71.0
2010-12-29,74.0
2010-12-29,72.0
2010-12-29,73.0
2010-12-29,71.0
2010-12-30,75.0
2010-12-30,73.0
2010-12-30,70.0
2010-12-30,75.0
2010-12-30,73.0
2010-12-30,70.0
2010-12-30,70.0
2010-12-31,72.0
2010-12-31,74.0
2010-12-31,75.0
2010-12-31,69.0
2010-12-31,77.0
2010-12-31,76.0
2010-12-31,75.0
2011-12-01,69.0
2011-12-01,69.0
2011-12-01,70.0
2011-12-01,69.0
2011-12-01,69.0
2011-12-01,67.0
2011-12-01,66.0
2011-12-01,71.0
2011-12-02,68.0
2011-12-02,68.0
2011-12-02,68.0
2011-12-02,69.0
2011-12-02,69.0
2011-12-02,69.0
2011-12-02,69.0
2011-12-02,73.0
2011-12-03,73.0
2011-12-03,74.0
2011-12-03,73.0
2011-12-03,75.0
2011-12-03,72.0
2011-12-03,69.0
2011-12-03,71.0
2011-12-04,74.0
2011-12-04,73.0
2011-12-04,71.0
2011-12-04,73.0
2011-12-04,74.0
2011-12-04,70.0
2011-12-04,71.0
2011-12-05,73.0
2011-12-05,73.0
2011-12-05,71.0
2011-12-05,71.0
2011-12-05,73.0
2011-12-05,71.0
2011-12-05,71.0
2011-12-05,68.0
2011-12-06,73.0
